Date,BioRep,Plate,Row,Column,Dilution_factor,Sample_number,Substrate,Pre-treatment,Insult,Sample_type,raw_SEAP,raw_ IFN,raw_viability,normalized_SEAP,normalized_IFN,normalized_viability
20251114,1,BP011,G,2,10,FF0139,Milk,"taleggio (rennet, italy)",LPS+,sample,1.042,33253,1.956,116.695,101.419,127.579
20251114,1,BP011,G,3,10,FF0163,Soy,cultured sweet white miso,LPS+,sample,1.196,28656,2.135,134.681,86.941,142.429
20251114,1,BP011,G,4,10,FF0164,Soy,aedan japanese fermented country miso,LPS+,sample,1.213,23300,2.042,136.670,70.073,134.710
20251114,1,BP011,G,5,10,FF0165,Soy,yabajurushi tsubu jikomi miso,LPS+,sample,1.468,4468,1.934,166.434,10.763,125.755
20251114,1,BP011,G,6,10,FF0167,Carrot,carrot,LPS+,sample,0.764,5778,1.719,84.193,14.889,107.904
20251114,1,BP011,G,7,10,FF0168,Beet,beet,LPS+,sample,0.922,12281,2.061,102.643,35.369,136.268
20251114,1,BP011,G,8,10,FF0169,Cucumber,cucumber,LPS+,sample,0.796,9059,1.756,87.996,25.222,110.988
20251114,1,BP011,G,9,10,FF0170,Cabbage,cabbage,LPS+,sample,0.962,17114,1.805,107.328,50.591,115.092
20251114,1,BP011,G,10,10,FF0171,Napa cabbage,napa cabbage,LPS+,sample,0.846,10340,1.641,93.836,29.256,101.495
20251114,1,BP011,G,11,10,blank,NA,PBS,LPS+,blank,0.839,29858,1.678,93.010,90.727,104.554
20251114,1,BP011,G,12,10,kill_control,NA,2.5% DMSO,LPS+,kill control,0.847,1338,0.459,93.900,0.905,3.499
20251114,1,BP011,H,1,10,FF0138,Milk,beemster aged gouda,LPS+,sample,1.155,27355,2.116,129.829,82.844,140.870
20251114,1,BP011,H,2,10,FF0139,Milk,"taleggio (rennet, italy)",LPS+,sample,1.065,36358,2.053,119.308,111.198,135.663
20251114,1,BP011,H,3,10,FF0163,Soy,cultured sweet white miso,LPS+,sample,1.070,26804,2.156,119.937,81.108,144.178
20251114,1,BP011,H,4,10,FF0164,Soy,aedan japanese fermented country miso,LPS+,sample,1.252,9299,2.171,141.228,25.978,145.430
20251114,1,BP011,H,5,10,FF0165,Soy,yabajurushi tsubu jikomi miso,LPS+,sample,1.275,3908,1.884,143.898,8.999,121.626
